,price,MA_25,signal
2023-11-04 00:44:56,34690.0,,nan
2023-11-04 00:44:57,34689.99,,nan
2023-11-04 00:44:58,34689.99,,nan
2023-11-04 00:44:59,34690.0,,nan
2023-11-04 00:45:00,34690.0,,nan
2023-11-04 00:45:01,34686.73,,nan
2023-11-04 00:45:02,34686.73,,nan
2023-11-04 00:45:03,34683.34,,nan
2023-11-04 00:45:04,34681.9,,nan
2023-11-04 00:45:05,34681.89,,nan
2023-11-04 00:45:06,34681.9,,nan
2023-11-04 00:45:07,34681.9,,nan
2023-11-04 00:45:08,34681.89,,nan
2023-11-04 00:45:09,34681.9,,nan
2023-11-04 00:45:10,34681.9,,nan
2023-11-04 00:45:11,34681.9,,nan
2023-11-04 00:45:12,34681.9,,nan
2023-11-04 00:45:13,34683.35,,nan
2023-11-04 00:45:14,34683.63,,nan
2023-11-04 00:45:15,34685.68,,nan
2023-11-04 00:45:16,34685.68,,nan
2023-11-04 00:45:17,34685.68,,nan
2023-11-04 00:45:18,34685.68,,nan
2023-11-04 00:45:19,34686.3,,nan
2023-11-04 00:45:20,34686.3,34685.0464,buy
2023-11-04 00:45:21,34686.3,34684.8984,buy
2023-11-04 00:45:22,34686.3,34684.7508,buy
2023-11-04 00:45:23,34686.3,34684.603200000005,buy
2023-11-04 00:45:24,34686.74,34684.4728,buy
2023-11-04 00:45:25,34686.74,34684.3424,buy
2023-11-04 00:45:26,34686.74,34684.342800000006,buy
2023-11-04 00:45:27,34686.74,34684.3432,buy
2023-11-04 00:45:28,34686.73,34684.4788,buy
2023-11-04 00:45:29,34687.17,34684.6896,buy
2023-11-04 00:45:30,34687.17,34684.9008,buy
2023-11-04 00:45:32,34687.17,34685.111600000004,buy
2023-11-04 00:45:33,34687.16,34685.322,buy
2023-11-04 00:45:34,34687.16,34685.5328,buy
2023-11-04 00:45:36,34687.16,34685.7432,buy
2023-11-04 00:45:37,34686.74,34685.936799999996,buy
2023-11-04 00:45:38,34685.85,34686.094800000006,sell
2023-11-04 00:45:39,34685.68,34686.246,sell
2023-11-04 00:45:40,34685.68,34686.3392,sell
2023-11-04 00:45:41,34685.68,34686.421200000004,sell
2023-11-04 00:45:42,34685.68,34686.421200000004,sell
2023-11-04 00:45:43,34684.97,34686.3928,sell
2023-11-04 00:45:44,34684.03,34686.3268,sell
2023-11-04 00:45:45,34683.12,34686.2244,sell
2023-11-04 00:45:46,34683.12,34686.097200000004,sell
2023-11-04 00:45:47,34683.12,34685.97,sell
2023-11-04 00:45:48,34683.12,34685.842800000006,sell
2023-11-04 00:45:49,34683.12,34685.7156,sell
2023-11-04 00:45:50,34683.12,34685.5884,sell
2023-11-04 00:45:51,34683.12,34685.4436,sell
2023-11-04 00:45:52,34683.12,34685.2988,sell
2023-11-04 00:45:53,34683.12,34685.154,sell
2023-11-04 00:45:54,34683.12,34685.0092,sell
2023-11-04 00:45:55,34683.12,34684.8648,sell
2023-11-04 00:45:56,34683.13,34684.703199999996,sell
2023-11-04 00:45:57,34683.13,34684.541600000004,sell
2023-11-04 00:45:58,34683.12,34684.3796,sell
2023-11-04 00:45:59,34683.12,34684.218,sell
2023-11-04 00:46:00,34683.13,34684.0568,sell
2023-11-04 00:46:01,34683.12,34683.8952,sell
2023-11-04 00:46:02,34683.12,34683.7504,sell
2023-11-04 00:46:03,34683.13,34683.641599999995,sell
2023-11-04 00:46:04,34683.12,34683.5392,sell
2023-11-04 00:46:05,34683.12,34683.4368,sell
2023-11-04 00:46:06,34683.12,34683.33440000001,sell
2023-11-04 00:46:07,34683.12,34683.232,sell
2023-11-04 00:46:08,34683.12,34683.158,sell
2023-11-04 00:46:09,34683.12,34683.1216,sell
2023-11-04 00:46:10,34683.12,34683.1216,sell
2023-11-04 00:46:11,34683.12,34683.1216,sell
2023-11-04 00:46:12,34683.13,34683.122,buy
2023-11-04 00:46:13,34683.12,34683.122,sell
2023-11-04 00:46:14,34683.13,34683.1224,buy
2023-11-04 00:46:15,34683.13,34683.122800000005,buy
2023-11-04 00:46:16,34683.13,34683.1232,buy
2023-11-04 00:46:17,34683.12,34683.1232,sell
2023-11-04 00:46:18,34683.13,34683.123600000006,buy
2023-11-04 00:46:19,34683.12,34683.123600000006,sell
2023-11-04 00:46:20,34683.12,34683.123600000006,sell
2023-11-04 00:46:21,34683.12,34683.1232,sell
2023-11-04 00:46:22,34683.12,34683.122800000005,sell
2023-11-04 00:46:23,34683.12,34683.122800000005,sell
2023-11-04 00:46:24,34683.12,34683.122800000005,sell
2023-11-04 00:46:25,34683.12,34683.1224,sell
2023-11-04 00:46:26,34683.13,34683.122800000005,buy
2023-11-04 00:46:27,34683.12,34683.1228,sell
2023-11-04 00:46:28,34683.12,34683.1224,sell
2023-11-04 00:46:29,34683.12,34683.1224,sell
2023-11-04 00:46:30,34683.12,34683.1224,sell
2023-11-04 00:46:31,34683.13,34683.1228,buy
2023-11-04 00:46:32,34683.13,34683.1232,buy
2023-11-04 00:46:33,34683.13,34683.1236,buy
2023-11-04 00:46:34,34683.13,34683.123999999996,buy
2023-11-04 00:46:35,34683.12,34683.123999999996,sell
2023-11-04 00:46:36,34683.12,34683.123999999996,sell
2023-11-04 00:46:38,34683.12,34683.1236,sell
2023-11-04 00:46:39,34683.13,34683.123999999996,buy
2023-11-04 00:46:40,34683.13,34683.123999999996,buy
2023-11-04 00:46:42,34683.12,34683.1236,sell
2023-11-04 00:46:43,34683.13,34683.1236,buy
2023-11-04 00:46:44,34683.13,34683.123999999996,buy
2023-11-04 00:46:45,34683.13,34683.123999999996,buy
2023-11-04 00:46:46,34683.12,34683.123999999996,sell
2023-11-04 00:46:47,34683.12,34683.123999999996,sell
2023-11-04 00:46:48,34683.12,34683.123999999996,sell
2023-11-04 00:46:49,34683.12,34683.123999999996,sell
2023-11-04 00:46:50,34683.12,34683.123999999996,sell
2023-11-04 00:46:51,34683.13,34683.1244,buy
2023-11-04 00:46:52,34683.12,34683.1244,sell
2023-11-04 00:46:54,34683.12,34683.123999999996,sell
2023-11-04 00:46:55,34683.12,34683.124,sell
2023-11-04 00:46:56,34683.12,34683.124,sell
2023-11-04 00:46:57,34683.12,34683.124,sell
2023-11-04 00:46:58,34683.12,34683.124,sell
2023-11-04 00:46:59,34683.12,34683.123600000006,sell
2023-11-04 00:47:00,34676.9,34682.8744,sell
2023-11-04 00:47:01,34676.6,34682.6132,sell
2023-11-04 00:47:02,34676.61,34682.3524,sell
2023-11-04 00:47:03,34676.6,34682.0916,sell
2023-11-04 00:47:04,34676.6,34681.8308,sell
2023-11-04 00:47:05,34676.6,34681.57,sell
2023-11-04 00:47:06,34676.61,34681.3092,sell
2023-11-04 00:47:07,34676.61,34681.0484,sell
2023-11-04 00:47:08,34676.61,34680.788,sell
2023-11-04 00:47:09,34676.6,34680.5268,sell
2023-11-04 00:47:10,34676.6,34680.2656,sell
2023-11-04 00:47:11,34676.6,34680.0044,sell
2023-11-04 00:47:12,34676.6,34679.7436,sell
2023-11-04 00:47:13,34676.6,34679.482800000005,sell
2023-11-04 00:47:14,34676.61,34679.2224,sell
2023-11-04 00:47:15,34676.61,34678.962,sell
2023-11-04 00:47:16,34676.6,34678.7012,sell
2023-11-04 00:47:17,34676.6,34678.44,sell
2023-11-04 00:47:18,34676.6,34678.179200000006,sell
2023-11-04 00:47:19,34676.61,34677.91880000001,sell
2023-11-04 00:47:20,34676.6,34677.658,sell
2023-11-04 00:47:21,34672.51,34677.2336,sell
2023-11-04 00:47:22,34672.51,34676.809199999996,sell
2023-11-04 00:47:23,34672.18,34676.3716,sell
2023-11-04 00:47:24,34671.91,34675.9232,sell
2023-11-04 00:47:25,34671.77,34675.718,sell
2023-11-04 00:47:26,34671.77,34675.5248,sell
2023-11-04 00:47:27,34671.76,34675.3308,sell
2023-11-04 00:47:28,34671.76,34675.137200000005,sell
2023-11-04 00:47:29,34671.76,34674.943600000006,sell
2023-11-04 00:47:30,34670.01,34674.68,sell
2023-11-04 00:47:31,34670.0,34674.41559999999,sell
2023-11-04 00:47:32,34670.0,34674.15119999999,sell
2023-11-04 00:47:33,34670.0,34673.8868,sell
2023-11-04 00:47:34,34664.35,34673.3968,sell
2023-11-04 00:47:35,34664.35,34672.906800000004,sell
2023-11-04 00:47:36,34664.36,34672.4172,sell
2023-11-04 00:47:37,34664.35,34671.9272,sell
2023-11-04 00:47:38,34664.36,34671.4376,sell
2023-11-04 00:47:39,34664.36,34670.9476,sell
