,price,MA_25,signal
2023-11-16 22:35:08,36149.39,,nan
2023-11-16 22:35:09,36149.4,,nan
2023-11-16 22:35:10,36157.42,,nan
2023-11-16 22:35:11,36159.99,,nan
2023-11-16 22:35:12,36162.86,,nan
2023-11-16 22:35:13,36164.64,,nan
2023-11-16 22:35:14,36164.64,,nan
2023-11-16 22:35:15,36169.24,,nan
2023-11-16 22:35:16,36169.24,,nan
2023-11-16 22:35:17,36169.24,,nan
2023-11-16 22:35:18,36169.24,,nan
2023-11-16 22:35:19,36169.24,,nan
2023-11-16 22:35:20,36169.23,,nan
2023-11-16 22:35:21,36169.24,,nan
2023-11-16 22:35:22,36171.5,,nan
2023-11-16 22:35:23,36171.5,,nan
2023-11-16 22:35:24,36171.5,,nan
2023-11-16 22:35:25,36167.74,,nan
2023-11-16 22:35:26,36167.73,,nan
2023-11-16 22:35:27,36167.73,,nan
2023-11-16 22:35:28,36167.74,,nan
2023-11-16 22:35:29,36167.73,,nan
2023-11-16 22:35:30,36167.73,,nan
2023-11-16 22:35:31,36167.73,,nan
2023-11-16 22:35:33,36167.74,36165.9752,buy
2023-11-16 22:35:34,36167.73,36166.7088,buy
2023-11-16 22:35:36,36167.73,36167.441999999995,buy
2023-11-16 22:35:37,36167.73,36167.854400000004,sell
2023-11-16 22:35:38,36171.07,36168.297600000005,buy
2023-11-16 22:35:39,36171.08,36168.6264,buy
2023-11-16 22:35:40,36171.08,36168.884000000005,buy
2023-11-16 22:35:41,36171.08,36169.1416,buy
2023-11-16 22:35:42,36171.08,36169.2152,buy
2023-11-16 22:35:43,36171.07,36169.288400000005,buy
2023-11-16 22:35:44,36171.07,36169.361600000004,buy
2023-11-16 22:35:46,36171.07,36169.4348,buy
2023-11-16 22:35:47,36171.07,36169.508,buy
2023-11-16 22:35:49,36171.07,36169.581600000005,buy
2023-11-16 22:35:50,36171.07,36169.6548,buy
2023-11-16 22:35:51,36171.08,36169.638,buy
2023-11-16 22:35:52,36167.73,36169.4872,sell
2023-11-16 22:35:53,36167.73,36169.3364,sell
2023-11-16 22:35:54,36167.74,36169.3364,sell
2023-11-16 22:35:55,36167.73,36169.3364,sell
2023-11-16 22:35:56,36167.73,36169.3364,sell
2023-11-16 22:35:57,36167.73,36169.336,sell
2023-11-16 22:35:58,36167.74,36169.3364,sell
2023-11-16 22:35:59,36167.73,36169.3364,sell
2023-11-16 22:36:00,36167.73,36169.3364,sell
2023-11-16 22:36:01,36167.74,36169.3364,sell
2023-11-16 22:36:02,36167.74,36169.336800000005,sell
2023-11-16 22:36:03,36167.73,36169.336800000005,sell
2023-11-16 22:36:04,36167.73,36169.3368,sell
2023-11-16 22:36:05,36167.74,36169.2036,sell
2023-11-16 22:36:06,36158.8,36168.712400000004,sell
2023-11-16 22:36:07,36154.59,36168.0528,sell
2023-11-16 22:36:08,36154.58,36167.3928,sell
2023-11-16 22:36:09,36154.59,36166.7332,sell
2023-11-16 22:36:10,36154.59,36166.074,sell
2023-11-16 22:36:11,36154.58,36165.4144,sell
2023-11-16 22:36:12,36154.58,36164.7548,sell
2023-11-16 22:36:13,36154.58,36164.0952,sell
2023-11-16 22:36:14,36154.58,36163.4356,sell
2023-11-16 22:36:15,36154.59,36162.7764,sell
2023-11-16 22:36:16,36154.58,36162.1164,sell
2023-11-16 22:36:17,36154.58,36161.5904,sell
2023-11-16 22:36:18,36154.58,36161.0644,sell
2023-11-16 22:36:19,36154.58,36160.538,sell
2023-11-16 22:36:20,36154.58,36160.012,sell
2023-11-16 22:36:21,36154.59,36159.4864,sell
2023-11-16 22:36:22,36154.59,36158.9608,sell
2023-11-16 22:36:23,36154.59,36158.4348,sell
2023-11-16 22:36:24,36154.59,36157.9092,sell
2023-11-16 22:36:25,36154.59,36157.3836,sell
2023-11-16 22:36:26,36154.59,36156.857599999996,sell
2023-11-16 22:36:27,36154.59,36156.331600000005,sell
2023-11-16 22:36:28,36154.58,36155.8056,sell
2023-11-16 22:36:29,36154.58,36155.2796,sell
2023-11-16 22:36:30,36153.4,36154.706,sell
2023-11-16 22:36:31,36153.39,36154.4896,sell
2023-11-16 22:36:32,36153.39,36154.4416,sell
2023-11-16 22:36:33,36153.39,36154.394,sell
2023-11-16 22:36:34,36153.39,36154.346,sell
2023-11-16 22:36:35,36153.39,36154.297999999995,sell
2023-11-16 22:36:36,36153.39,36154.2504,sell
2023-11-16 22:36:37,36142.86,36153.7816,sell
2023-11-16 22:36:38,36142.85,36153.3124,sell
2023-11-16 22:36:39,36142.85,36152.843199999996,sell
2023-11-16 22:36:40,36142.85,36152.3736,sell
2023-11-16 22:36:41,36142.85,36151.9044,sell
2023-11-16 22:36:42,36142.86,36151.4356,sell
2023-11-16 22:36:43,36149.17,36151.2192,sell
2023-11-16 22:36:44,36149.17,36151.0028,sell
2023-11-16 22:36:45,36153.39,36150.9552,buy
2023-11-16 22:36:46,36168.97,36151.5304,buy
2023-11-16 22:36:47,36168.96,36152.1052,buy
2023-11-16 22:36:48,36168.97,36152.6804,buy
2023-11-16 22:36:49,36168.96,36153.2552,buy
2023-11-16 22:36:50,36168.97,36153.8304,buy
2023-11-16 22:36:51,36173.03,36154.568,buy
2023-11-16 22:36:52,36177.72,36155.4932,buy
2023-11-16 22:36:53,36181.09,36156.5536,buy
2023-11-16 22:36:54,36181.09,36157.614,buy
2023-11-16 22:36:55,36185.54,36158.8996,buy
2023-11-16 22:36:56,36185.54,36160.1856,buy
2023-11-16 22:36:57,36185.53,36161.4712,buy
2023-11-16 22:36:58,36185.54,36162.7572,buy
2023-11-16 22:36:59,36185.54,36164.0432,buy
2023-11-16 22:37:00,36185.55,36165.3296,buy
2023-11-16 22:37:01,36190.87,36166.8288,buy
2023-11-16 22:37:02,36190.86,36168.7488,buy
2023-11-16 22:37:03,36190.86,36170.6692,buy
2023-11-16 22:37:04,36194.67,36172.742,buy
2023-11-16 22:37:05,36194.67,36174.8148,buy
2023-11-16 22:37:06,36194.67,36176.8876,buy
2023-11-16 22:37:07,36194.66,36178.9596,buy
2023-11-16 22:37:08,36194.67,36180.7796,buy
2023-11-16 22:37:09,36194.67,36182.5996,buy
2023-11-16 22:37:10,36194.66,36184.2504,buy
2023-11-16 22:37:11,36194.67,36185.278399999996,buy
2023-11-16 22:37:12,36194.66,36186.3064,buy
2023-11-16 22:37:13,36194.66,36187.334,buy
2023-11-16 22:37:14,36194.66,36188.361999999994,buy
2023-11-16 22:37:15,36194.66,36189.3896,buy
2023-11-16 22:37:16,36194.66,36190.2548,buy
2023-11-16 22:37:17,36194.67,36190.932799999995,buy
2023-11-16 22:37:18,36194.66,36191.4756,buy
2023-11-16 22:37:19,36194.67,36192.018800000005,buy
2023-11-16 22:37:20,36194.67,36192.384,buy
2023-11-16 22:37:21,36194.67,36192.7492,buy
2023-11-16 22:37:22,36194.67,36193.1148,buy
2023-11-16 22:37:23,36194.66,36193.4796,buy
2023-11-16 22:37:24,36194.67,36193.8448,buy
2023-11-16 22:37:25,36194.67,36194.2096,buy
2023-11-16 22:37:26,36194.67,36194.3616,buy
2023-11-16 22:37:27,36194.67,36194.513999999996,buy
2023-11-16 22:37:28,36194.66,36194.666,sell
2023-11-16 22:37:29,36194.66,36194.6656,sell
2023-11-16 22:37:30,36194.67,36194.6656,buy
2023-11-16 22:37:31,36194.67,36194.6656,buy
2023-11-16 22:37:32,36194.67,36194.666,buy
2023-11-16 22:37:33,36194.67,36194.666,buy
2023-11-16 22:37:34,36194.67,36194.666,buy
2023-11-16 22:37:35,36194.67,36194.6664,buy
2023-11-16 22:37:36,36194.66,36194.666,sell
2023-11-16 22:37:37,36194.67,36194.6664,buy
2023-11-16 22:37:38,36194.66,36194.666399999995,sell
2023-11-16 22:37:39,36194.66,36194.6664,sell
2023-11-16 22:37:40,36187.51,36194.3804,sell
2023-11-16 22:37:41,36187.51,36194.0944,sell
2023-11-16 22:37:42,36187.5,36193.8076,sell
2023-11-16 22:37:43,36185.54,36193.442800000004,sell
2023-11-16 22:37:44,36185.53,36193.0772,sell
2023-11-16 22:37:45,36183.16,36192.6168,sell
2023-11-16 22:37:46,36183.16,36192.1564,sell
2023-11-16 22:37:47,36181.12,36191.6144,sell
2023-11-16 22:37:48,36180.51,36191.0484,sell
2023-11-16 22:37:49,36180.51,36190.482,sell
2023-11-16 22:37:50,36179.83,36189.888399999996,sell
2023-11-16 22:37:51,36179.82,36189.294400000006,sell
2023-11-16 22:37:52,36179.83,36188.7008,sell
2023-11-16 22:37:53,36179.83,36188.107599999996,sell
2023-11-16 22:37:54,36179.82,36187.514,sell
2023-11-16 22:37:55,36179.82,36186.92,sell
2023-11-16 22:37:56,36179.83,36186.3264,sell
2023-11-16 22:37:57,36174.77,36185.5304,sell
