,amount
2023-11-09 22:32:26,6.786e-05
2023-11-09 22:33:06,7.765e-05
2023-11-09 22:34:31,8.744e-05
2023-11-09 22:35:26,9.723e-05
2023-11-09 22:36:17,7.02e-06
2023-11-09 22:37:28,1.681e-05
2023-11-09 22:38:27,2.66e-05
2023-11-09 22:38:53,3.639e-05
2023-11-09 22:39:28,4.618e-05
2023-11-09 22:40:55,5.597e-05
2023-11-09 22:42:08,6.576e-05
2023-11-09 22:43:16,7.555e-05
2023-11-09 22:43:22,8.534e-05
2023-11-09 22:43:49,9.513e-05
2023-11-09 22:45:22,4.92e-06
2023-11-09 22:45:56,1.471e-05
2023-11-09 22:47:58,2.45e-05
2023-11-09 22:49:31,3.429e-05
2023-11-09 22:50:45,4.408e-05
2023-11-09 22:51:10,5.387e-05
2023-11-09 22:51:43,6.366e-05
2023-11-09 22:52:26,7.345e-05
2023-11-09 22:52:42,8.324e-05
2023-11-09 22:53:24,9.303e-05
2023-11-09 22:53:33,2.82e-06
2023-11-09 22:54:23,1.261e-05
2023-11-09 22:57:26,2.24e-05
2023-11-09 22:59:11,3.219e-05
2023-11-09 22:59:57,4.198e-05
2023-11-09 23:00:26,5.177e-05
2023-11-09 23:01:10,6.156e-05
2023-11-09 23:01:56,7.135e-05
2023-11-09 23:02:00,8.114e-05
2023-11-09 23:02:07,9.093e-05
2023-11-09 23:02:11,7.2e-07
2023-11-09 23:02:17,1.051e-05
2023-11-09 23:02:26,2.03e-05
2023-11-09 23:03:18,3.009e-05
2023-11-09 23:04:29,3.988e-05
2023-11-09 23:05:11,4.967e-05
2023-11-09 23:05:59,5.946e-05
2023-11-09 23:06:37,6.925e-05
2023-11-09 23:07:32,7.904e-05
2023-11-09 23:08:13,8.883e-05
2023-11-09 23:08:42,9.862e-05
2023-11-09 23:08:50,8.41e-06
2023-11-09 23:08:57,1.82e-05
2023-11-09 23:09:47,2.799e-05
2023-11-09 23:10:38,3.778e-05
2023-11-09 23:11:50,4.757e-05
2023-11-09 23:12:27,5.736e-05
2023-11-09 23:13:24,6.715e-05
2023-11-09 23:15:14,7.694e-05
